,T_EP,X#1,T#1,T#2,NPR1#2,NPR2#2,RadiusOfGyration#2,InertialShapeFactor#2,SpherocityIndex#1,SpherocityIndex#2,MolWeight#2,WAPS#1,WAPS#2,WANS#2,ln_gamma_InfD#1,ln_gamma_InfD#2,s_profile_2#ratio,s_profile_3#ratio,s_profile_4#ratio,s_profile_5#ratio,s_profile_6#ratio
T_EP,1.0,-0.5016192604721651,0.5401979616168743,0.5071131169742962,-0.06905136060363545,0.03903569963415337,-0.29427189234729,0.2933953255298361,0.26648954380011264,0.33251353580093884,-0.39095695175672635,0.234613051147201,0.49372643835859537,-0.4542776732680182,-0.05707482435589452,0.004559991244562165,-0.1841049297722339,0.6081197447347216,-0.3661112825219277,-0.42293742454606925,0.4449864930472424
X#1,-0.5016192604721651,1.0,-0.07091307612519819,-0.012501285149093391,0.06751304805800089,0.0014717612019105517,0.01168865442661334,-0.013468074934692476,0.018208196815369056,-0.00047191356370218873,0.09465969792910756,0.06888887869181042,-0.03471964392980918,0.016554830410789666,-0.008321971240143876,-0.011896108138840513,0.25572011189748,-0.3602462420942712,0.138508181130573,0.19924528857297197,-0.2215528049956078
T#1,0.5401979616168743,-0.07091307612519819,1.0,0.486506033292733,-0.10821827472760545,-0.03729090695415252,-0.343666964375061,0.477683198264082,0.504523511937273,0.2472431339275014,-0.4567833468498159,0.5719846740420885,0.4833958133169794,-0.612379481768578,-0.3345491743321767,-0.07264526098335403,0.2114014423393326,0.4639038193595234,-0.4550977438813874,-0.20450244501065865,0.4850576814742376
T#2,0.5071131169742962,-0.012501285149093391,0.486506033292733,1.0,0.24643412024980194,-0.1875911549959163,-0.6490655079368535,0.1415811522218976,0.1510662684844216,0.7703574776491359,-0.527209542907871,0.4320230730435281,0.9048410934689763,-0.6925388240512057,-0.2776085767210739,-0.24356781363630972,0.0897130511283279,0.7108084295383883,-0.6143452151708731,-0.32592488051717666,0.6412084599768112
NPR1#2,-0.06905136060363545,0.06751304805800089,-0.10821827472760545,0.24643412024980194,1.0,-0.4697906092468316,-0.4760985159206461,-0.25189341666394965,-0.17403491131610735,0.665373815131394,0.1832488080649389,0.07180433963736697,0.24128621002175663,-0.001542833143337464,-0.16005898844596986,-0.4495991361398532,-0.09315871750554854,0.309765091666292,-0.12255369260951565,-0.2107208490190357,0.0978546994134137
NPR2#2,0.03903569963415337,0.0014717612019105517,-0.03729090695415252,-0.1875911549959163,-0.4697906092468316,1.0,0.47794265835961164,0.20163895491636954,0.02534017410122497,-0.19227466981822613,0.2014059449012874,-0.11620220562781086,-0.21197960612697034,0.20641226978803778,0.10911148231214658,0.1774210171059476,-0.04585880426989951,-0.2981014985618085,0.2575101860434061,-0.026794770464804555,-0.26541026693263375
RadiusOfGyration#2,-0.29427189234729,0.01168865442661334,-0.343666964375061,-0.6490655079368535,-0.4760985159206461,0.47794265835961164,1.0,-0.12393143996547408,-0.10677031956852776,-0.7335385931368856,0.7056089581910521,-0.3335743416829545,-0.7291183882727434,0.6755457263451949,0.22259195538809812,0.2010860659850012,-0.10976377671868637,-0.5477622492876052,0.6091912891893023,0.2546312821708723,-0.4237498527763396
InertialShapeFactor#2,0.2933953255298361,-0.013468074934692476,0.477683198264082,0.1415811522218976,-0.25189341666394965,0.20163895491636954,-0.12393143996547408,1.0,0.3309291373121549,-0.11167032964772404,-0.264360733997832,0.3119982130118968,0.11436422732610751,-0.625862843011986,-0.14544424372907788,0.10912443499130899,0.3400987361325861,-0.018825617089225435,-0.16072200878983456,-0.16449181209594857,0.16836779750609587
SpherocityIndex#1,0.26648954380011264,0.018208196815369056,0.504523511937273,0.1510662684844216,-0.17403491131610735,0.02534017410122497,-0.10677031956852776,0.3309291373121549,1.0,-0.0619912800279084,-0.1991420730693465,0.5377579155347575,0.129341928051452,-0.3674176562302389,-0.07451124253685588,0.29249615492967657,0.17212500019450633,0.22647157308610155,-0.37585684609296605,-0.2290861783858702,0.23995390178614834
SpherocityIndex#2,0.33251353580093884,-0.00047191356370218873,0.2472431339275014,0.7703574776491359,0.665373815131394,-0.19227466981822613,-0.7335385931368856,-0.11167032964772404,-0.0619912800279084,1.0,-0.35291254839503433,0.22552819100814978,0.7751246396591709,-0.37045204374063617,-0.24508837872630512,-0.42627757352761325,-0.09929421288600843,0.5951847938731939,-0.4241924661692477,-0.39056767395592434,0.36744875115435827
MolWeight#2,-0.39095695175672635,0.09465969792910756,-0.4567833468498159,-0.527209542907871,0.1832488080649389,0.2014059449012874,0.7056089581910521,-0.264360733997832,-0.1991420730693465,-0.35291254839503433,1.0,-0.23706187275888463,-0.6559981226186836,0.6976499224076103,0.11041070118882271,-0.07443219192121765,-0.11043273326988226,-0.3740940800307466,0.5159875975662092,0.15315734823064697,-0.35557634870288546
WAPS#1,0.234613051147201,0.06888887869181042,0.5719846740420885,0.4320230730435281,0.07180433963736697,-0.11620220562781086,-0.3335743416829545,0.3119982130118968,0.5377579155347575,0.22552819100814978,-0.23706187275888463,1.0,0.37278891945228926,-0.5192929739484075,-0.33502795910579025,-0.013670398861531614,0.4775346498945761,0.5202949939508833,-0.705833197487649,-0.2468878255574874,0.5949743039055218
WAPS#2,0.49372643835859537,-0.03471964392980918,0.4833958133169794,0.9048410934689763,0.24128621002175663,-0.21197960612697034,-0.7291183882727434,0.11436422732610751,0.129341928051452,0.7751246396591709,-0.6559981226186836,0.37278891945228926,1.0,-0.7382798849618444,-0.27171741665717886,-0.2882333519549658,0.08595302196426503,0.7129604255096738,-0.5919300598375918,-0.4147317092581114,0.6017919137155864
WANS#2,-0.4542776732680182,0.016554830410789666,-0.612379481768578,-0.6925388240512057,-0.001542833143337464,0.20641226978803778,0.6755457263451949,-0.625862843011986,-0.3674176562302389,-0.37045204374063617,0.6976499224076103,-0.5192929739484075,-0.7382798849618444,1.0,0.2455376276982153,0.009335259866936393,-0.365027701033237,-0.517364807344615,0.6215819890265001,0.279921957735085,-0.5798451655948038
ln_gamma_InfD#1,-0.05707482435589452,-0.008321971240143876,-0.3345491743321767,-0.2776085767210739,-0.16005898844596986,0.10911148231214658,0.22259195538809812,-0.14544424372907788,-0.07451124253685588,-0.24508837872630512,0.11041070118882271,-0.33502795910579025,-0.27171741665717886,0.2455376276982153,1.0,0.764788995177644,-0.3287246928314693,-0.2227243649644267,0.3826919396497849,-0.08701750401351616,-0.29862808579142863
ln_gamma_InfD#2,0.004559991244562165,-0.011896108138840513,-0.07264526098335403,-0.24356781363630972,-0.4495991361398532,0.1774210171059476,0.2010860659850012,0.10912443499130899,0.29249615492967657,-0.42627757352761325,-0.07443219192121765,-0.013670398861531614,-0.2882333519549658,0.009335259866936393,0.764788995177644,1.0,-0.010409643973923272,-0.20481872551743907,0.13913471830559793,-0.032881740678625114,-0.12019920856990438
s_profile_2#ratio,-0.1841049297722339,0.25572011189748,0.2114014423393326,0.0897130511283279,-0.09315871750554854,-0.04585880426989951,-0.10976377671868637,0.3400987361325861,0.17212500019450633,-0.09929421288600843,-0.11043273326988226,0.4775346498945761,0.08595302196426503,-0.365027701033237,-0.3287246928314693,-0.010409643973923272,1.0,-0.11844367942459944,-0.37935464913729866,0.1850345006256756,0.25357018514576996
s_profile_3#ratio,0.6081197447347216,-0.3602462420942712,0.4639038193595234,0.7108084295383883,0.309765091666292,-0.2981014985618085,-0.5477622492876052,-0.018825617089225435,0.22647157308610155,0.5951847938731939,-0.3740940800307466,0.5202949939508833,0.7129604255096738,-0.517364807344615,-0.2227243649644267,-0.20481872551743907,-0.11844367942459944,1.0,-0.6758761216520831,-0.37429084982787764,0.7549385637107047
s_profile_4#ratio,-0.3661112825219277,0.138508181130573,-0.4550977438813874,-0.6143452151708731,-0.12255369260951565,0.2575101860434061,0.6091912891893023,-0.16072200878983456,-0.37585684609296605,-0.4241924661692477,0.5159875975662092,-0.705833197487649,-0.5919300598375918,0.6215819890265001,0.3826919396497849,0.13913471830559793,-0.37935464913729866,-0.6758761216520831,1.0,0.15914685532870426,-0.6508502351347258
s_profile_5#ratio,-0.42293742454606925,0.19924528857297197,-0.20450244501065865,-0.32592488051717666,-0.2107208490190357,-0.026794770464804555,0.2546312821708723,-0.16449181209594857,-0.2290861783858702,-0.39056767395592434,0.15315734823064697,-0.2468878255574874,-0.4147317092581114,0.279921957735085,-0.08701750401351616,-0.032881740678625114,0.1850345006256756,-0.37429084982787764,0.15914685532870426,1.0,-0.22690048494998885
s_profile_6#ratio,0.4449864930472424,-0.2215528049956078,0.4850576814742376,0.6412084599768112,0.0978546994134137,-0.26541026693263375,-0.4237498527763396,0.16836779750609587,0.23995390178614834,0.36744875115435827,-0.35557634870288546,0.5949743039055218,0.6017919137155864,-0.5798451655948038,-0.29862808579142863,-0.12019920856990438,0.25357018514576996,0.7549385637107047,-0.6508502351347258,-0.22690048494998885,1.0
